Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_Pct,Automation_Risk_Pct,Location,Gender_Diversity_Pct
Museum/gallery exhibitions officer,Retail,Decreasing,Low,38639.07,PhD,18,9128,3428,97.47,77.73,Germany,26.19
Hospital pharmacist,Finance,Decreasing,Low,146296.29,PhD,8,8745,4174,32.06,68.07,Brazil,57.77
Prison officer,IT,Decreasing,Moderate,106225.48,Bachelor’s Degree,15,8758,1410,58.16,60.7,India,26.12
Technical author,Education,Increasing,High,79254.23,Bachelor’s Degree,2,9712,5091,23.23,82.4,Australia,73.23
"Designer, exhibition/display",Transportation,Increasing,Low,71483.07,Master’s Degree,16,5997,7152,61.28,13.02,Australia,77.6
Dentist,Manufacturing,Increasing,High,51870.09,Bachelor’s Degree,7,4029,5670,8.52,80.97,Brazil,20.11
Animator,Manufacturing,Decreasing,Moderate,116884.45,Bachelor’s Degree,19,5919,1462,59.09,31.63,Canada,43.64
Midwife,IT,Decreasing,Moderate,78231.32,PhD,18,228,9790,7.23,50.45,USA,76.78
Probation officer,Manufacturing,Decreasing,Moderate,117740.13,Master’s Degree,1,6789,7556,9.25,75.34,India,26.69
"Journalist, broadcasting",Finance,Increasing,Low,106322.22,High School,17,4383,4711,59.53,37.6,Brazil,24.59
Product/process development scientist,Entertainment,Increasing,Low,134231.8,Bachelor’s Degree,20,9328,9285,41.94,94.93,India,44.62
Naval architect,Manufacturing,Increasing,High,48585.18,PhD,20,4407,9492,18.32,33.07,India,34.76
"Investment banker, corporate",Entertainment,Increasing,Moderate,127730.23,Master’s Degree,18,5159,3495,8.81,90.74,UK,64.51
Surgeon,IT,Decreasing,Low,82656.46,Associate Degree,8,2796,4902,14.97,86.7,USA,66.74
Retail manager,Manufacturing,Decreasing,High,35754.67,Bachelor’s Degree,18,9696,2190,70.1,34.91,Brazil,65.8
"Engineer, electrical",Manufacturing,Increasing,Low,146332.83,High School,14,9024,646,19.35,55.05,Canada,72.18
Banker,Manufacturing,Increasing,High,46266.86,Master’s Degree,1,9987,8124,16.81,2.51,USA,34.68
Ecologist,Entertainment,Increasing,Low,148009.61,High School,9,6175,392,6.96,96.19,China,23.48
"Psychotherapist, dance movement",Manufacturing,Decreasing,Low,103882.08,Associate Degree,9,9266,5027,34.03,40.38,USA,69.98
Production manager,Education,Decreasing,Moderate,144638.45,Master’s Degree,8,685,1844,0.42,4.92,Germany,48.86
TEFL teacher,Retail,Decreasing,Low,117713.37,Master’s Degree,14,7575,1541,85.93,81.09,Canada,66.37
"Producer, radio",Manufacturing,Increasing,High,43941.24,Associate Degree,2,9063,1016,99.57,59.56,India,79.67
"Horticulturist, commercial",Entertainment,Decreasing,Moderate,46887.87,Master’s Degree,8,825,2151,68.47,90.57,Australia,65.23
Chief Financial Officer,Manufacturing,Decreasing,Low,84654.64,Associate Degree,5,6985,3272,36.5,4.37,China,52.87
"Psychologist, educational",Entertainment,Increasing,High,87749.9,High School,0,3634,3776,11.09,95.55,China,34.75
"Scientist, audiological",Transportation,Decreasing,Moderate,127828.75,Bachelor’s Degree,11,1954,6900,13.24,84.95,UK,76.45
Operations geologist,Finance,Decreasing,Moderate,44792.6,High School,0,1139,629,31.23,11.41,Canada,75.42
Computer games developer,Retail,Increasing,Moderate,132796.12,Master’s Degree,13,1826,9871,10.52,40.63,China,69.67
Clinical embryologist,Entertainment,Decreasing,Moderate,141125.59,Associate Degree,18,6896,1071,9.01,33.85,UK,25.65
Purchasing manager,Manufacturing,Increasing,High,74865.38,Bachelor’s Degree,15,4819,6406,61.31,85.49,Australia,39.17
Food technologist,Retail,Decreasing,Low,50741.16,Master’s Degree,17,2269,3134,63.1,67.66,UK,64.59
Copy,Manufacturing,Increasing,High,117746.24,Master’s Degree,10,1702,6771,7.42,21.98,India,24.48
Herbalist,IT,Increasing,Moderate,119585.92,Bachelor’s Degree,18,5334,1086,62.61,69.45,Germany,74.24
Travel agency manager,Retail,Decreasing,High,123093.24,High School,19,6926,8335,85.58,90.33,India,61.28
"Psychotherapist, dance movement",Education,Increasing,Moderate,69425.52,PhD,16,4877,1791,23.41,6.24,Brazil,63.64
"Psychologist, clinical",Entertainment,Increasing,Moderate,147491.1,Associate Degree,0,5700,9410,13.98,55.24,Australia,32.5
Naval architect,Manufacturing,Increasing,Low,100179.82,Bachelor’s Degree,17,9711,9267,73.28,13.8,Australia,20.07
Graphic designer,Finance,Decreasing,Low,71552.15,Bachelor’s Degree,12,8284,5267,74.28,68.5,Brazil,65.46
"Nurse, mental health",Entertainment,Increasing,Low,95326.69,Associate Degree,4,9352,880,44.86,13.88,China,58.32
"Embryologist, clinical",Manufacturing,Increasing,Low,80216.38,Associate Degree,10,986,9955,45.19,87.64,UK,48.09
"Surveyor, building",Retail,Decreasing,Moderate,51140.25,High School,18,1969,8692,0.72,26.7,China,61.01
Copy,Healthcare,Increasing,High,106827.5,Master’s Degree,4,6001,1929,85.81,74.9,Germany,20.95
"Teacher, primary school",Healthcare,Decreasing,Low,132264.34,High School,0,3664,4562,25.43,23.46,Australia,76.11
Production engineer,Finance,Increasing,Moderate,34233.18,Master’s Degree,20,7324,4619,65.9,90.27,India,24.47
"Psychotherapist, dance movement",Education,Increasing,Moderate,142238.0,PhD,16,7816,1363,56.91,27.27,China,65.9
"Nurse, children's",Manufacturing,Decreasing,High,48844.39,PhD,13,468,1652,78.91,99.07,USA,38.53
"Accountant, chartered management",Retail,Increasing,High,131737.22,High School,0,7166,4962,67.59,84.04,China,76.77
Radio producer,Finance,Decreasing,Moderate,36880.77,Bachelor’s Degree,10,2665,4339,91.0,23.53,Canada,63.92
Orthoptist,Retail,Decreasing,Low,38333.21,Master’s Degree,15,7367,3406,1.36,81.29,China,64.82
Food technologist,Education,Decreasing,Low,69540.17,PhD,17,1747,3367,46.37,28.79,Australia,46.87
Lawyer,Finance,Decreasing,Low,35350.2,Associate Degree,3,542,5913,82.3,60.5,Canada,25.7
Illustrator,Healthcare,Increasing,Moderate,42976.09,PhD,14,3944,764,27.04,52.9,Germany,31.27
Dance movement psychotherapist,IT,Decreasing,Moderate,115902.25,Associate Degree,18,1743,7767,6.75,24.14,China,26.7
"Engineer, biomedical",Finance,Increasing,High,109921.46,Master’s Degree,15,3672,2174,83.82,33.33,UK,73.86
"Civil engineer, consulting",Retail,Increasing,Moderate,68362.29,Master’s Degree,10,7407,204,10.91,94.4,China,58.76
General practice doctor,Manufacturing,Increasing,Moderate,64695.19,PhD,18,338,6726,48.78,42.96,Australia,31.23
Catering manager,Transportation,Increasing,High,59718.34,PhD,10,4783,530,23.4,93.06,India,42.35
Barista,Manufacturing,Increasing,Moderate,61940.5,Bachelor’s Degree,2,5494,9467,25.91,58.18,India,70.58
"Designer, blown glass/stained glass",Transportation,Increasing,Low,115304.54,PhD,20,8797,9182,38.59,31.73,India,43.3
"Programme researcher, broadcasting/film/video",Entertainment,Increasing,High,74818.7,High School,8,5618,6741,89.54,24.6,UK,26.52
"Journalist, newspaper",Healthcare,Increasing,High,41132.23,Master’s Degree,12,6255,9316,55.24,64.31,USA,74.93
Hydrographic surveyor,Manufacturing,Decreasing,Low,93306.11,High School,2,1674,9085,54.11,98.0,UK,44.06
"Psychologist, clinical",Entertainment,Increasing,High,48905.8,PhD,10,6747,337,60.53,47.81,Canada,27.59
Museum/gallery curator,Education,Decreasing,Low,97956.73,Associate Degree,7,6172,6802,19.27,31.25,UK,47.02
Freight forwarder,Finance,Increasing,Low,91333.05,Associate Degree,17,5900,573,32.44,79.68,USA,41.77
Neurosurgeon,Retail,Increasing,High,112476.25,High School,7,7673,2948,72.19,73.15,Brazil,34.1
Actor,Education,Increasing,Low,148274.97,Bachelor’s Degree,0,9701,4304,20.05,65.54,Australia,50.61
Restaurant manager,Finance,Decreasing,Moderate,133656.84,PhD,10,666,2909,59.29,90.66,UK,51.43
Retail manager,Transportation,Increasing,Moderate,41983.83,Master’s Degree,7,8310,8379,37.87,17.8,USA,63.02
Operational researcher,Healthcare,Decreasing,Moderate,82141.25,PhD,12,4112,1603,10.33,94.15,UK,50.63
Energy engineer,Entertainment,Decreasing,Low,84813.55,PhD,0,2055,5118,71.15,72.86,Australia,65.27
Chartered legal executive (England and Wales),Transportation,Decreasing,Moderate,75069.54,High School,17,4291,1920,41.75,52.81,China,60.51
Games developer,IT,Increasing,High,138697.69,High School,15,6859,2648,95.42,87.38,India,47.87
Agricultural consultant,Manufacturing,Decreasing,High,40274.02,Bachelor’s Degree,19,2258,1422,32.65,28.24,Brazil,71.17
Visual merchandiser,Transportation,Increasing,Low,57445.9,PhD,8,5154,4669,13.86,26.11,UK,30.6
Bookseller,Retail,Increasing,High,77798.21,PhD,10,5601,2099,65.78,10.58,India,53.49
Armed forces operational officer,Entertainment,Increasing,Low,100630.05,High School,9,1346,7464,74.29,13.41,India,21.09
Probation officer,IT,Decreasing,High,106446.68,High School,1,5845,6511,63.14,28.03,UK,27.88
"Engineer, communications",IT,Decreasing,Moderate,46813.13,Master’s Degree,15,4558,4796,49.05,0.22,UK,42.86
Medical illustrator,IT,Decreasing,Low,76843.93,Master’s Degree,5,4230,2801,28.77,80.22,Germany,51.15
Solicitor,Retail,Increasing,Moderate,37945.02,Master’s Degree,18,8007,1174,41.13,46.5,Brazil,56.17
"Buyer, industrial",Education,Decreasing,Low,84715.58,Bachelor’s Degree,14,4116,2238,43.25,42.29,India,57.06
"Production designer, theatre/television/film",Transportation,Increasing,Moderate,77664.04,Associate Degree,13,6607,4976,97.98,97.2,Canada,20.55
Training and development officer,Retail,Increasing,Moderate,122491.67,Master’s Degree,19,2010,1288,83.15,42.64,China,71.69
Land,IT,Increasing,High,53026.78,High School,13,277,2077,59.61,58.26,China,43.4
Private music teacher,Healthcare,Decreasing,Low,103141.69,PhD,12,8461,2118,11.18,98.88,Brazil,70.78
IT technical support officer,Retail,Increasing,Moderate,139122.92,PhD,18,3568,3005,71.75,27.73,China,21.77
Site engineer,Education,Increasing,Moderate,39650.85,Master’s Degree,9,7298,2491,99.97,90.62,USA,29.52
Warehouse manager,Healthcare,Increasing,Moderate,32477.05,Bachelor’s Degree,11,677,1529,89.04,88.13,India,71.02
Manufacturing systems engineer,Manufacturing,Increasing,High,40413.27,Bachelor’s Degree,8,7985,7578,69.58,38.08,Canada,31.58
Health and safety adviser,Healthcare,Decreasing,High,110361.86,PhD,6,1690,3103,44.46,34.58,Germany,78.41
"Engineer, materials",Entertainment,Decreasing,High,69090.03,Bachelor’s Degree,17,3190,3681,56.41,58.88,Brazil,79.3
Chemical engineer,Transportation,Increasing,High,147187.79,High School,19,9807,7329,4.18,88.29,UK,39.86
Arboriculturist,Finance,Decreasing,Moderate,89623.1,Master’s Degree,8,6827,2022,27.71,54.2,Australia,34.89
Associate Professor,Manufacturing,Increasing,High,120070.73,Bachelor’s Degree,20,7054,4329,64.71,20.93,Brazil,38.59
Fine artist,Finance,Decreasing,Low,144136.82,PhD,15,4404,8078,78.87,94.06,Brazil,55.94
Broadcast engineer,Manufacturing,Decreasing,Low,133770.35,Master’s Degree,0,1581,1821,96.13,98.88,China,79.3
Medical secretary,Finance,Decreasing,Low,101813.29,High School,2,1807,9155,9.8,1.74,UK,68.31
"Teacher, primary school",Healthcare,Decreasing,Low,70708.7,Associate Degree,7,8746,6779,49.03,15.94,Brazil,39.84
Mining engineer,Retail,Decreasing,High,54577.21,High School,18,9979,6874,92.23,20.09,USA,40.82
"Runner, broadcasting/film/video",Manufacturing,Decreasing,Moderate,95816.96,PhD,15,5809,5817,44.41,70.05,Canada,46.14
"Education officer, museum",Retail,Decreasing,High,53636.29,Master’s Degree,20,8006,7463,6.57,61.4,Australia,74.8
"Engineer, automotive",Healthcare,Increasing,Low,76630.43,Bachelor’s Degree,1,690,528,65.26,76.58,UK,51.79
Clothing/textile technologist,Entertainment,Increasing,Moderate,64714.46,Master’s Degree,6,3207,9500,48.17,78.32,Australia,66.64
Furniture designer,Healthcare,Increasing,Moderate,75956.57,Associate Degree,10,9448,3003,79.4,24.54,Brazil,38.07
Pharmacologist,Entertainment,Increasing,High,42512.39,PhD,15,9771,3224,80.82,23.45,Germany,36.07
Medical laboratory scientific officer,Healthcare,Decreasing,Moderate,42323.29,High School,11,262,6300,32.89,38.16,Australia,52.68
Water quality scientist,Finance,Decreasing,High,93775.18,Master’s Degree,3,672,8814,80.03,67.33,UK,60.68
"Engineer, broadcasting (operations)",Entertainment,Increasing,Moderate,33058.97,Associate Degree,0,6419,816,12.17,52.14,Germany,43.63
"Engineer, manufacturing systems",Retail,Increasing,Low,111122.27,Associate Degree,7,8205,318,71.75,25.54,India,47.31
"Librarian, public",Finance,Increasing,High,56280.84,High School,19,6670,8191,98.26,88.62,Germany,31.81
"Secretary, company",Entertainment,Decreasing,Low,87650.99,Associate Degree,4,8670,8154,28.57,4.25,Germany,63.74
"Scientist, research (medical)",Transportation,Increasing,Moderate,48851.04,Bachelor’s Degree,15,615,8406,77.56,86.88,China,49.55
Games developer,Finance,Decreasing,Moderate,148077.59,Associate Degree,4,8753,2161,5.94,94.01,China,22.12
Ambulance person,Retail,Increasing,Moderate,119275.11,Master’s Degree,15,5903,4805,8.64,65.67,USA,67.55
Theatre stage manager,Healthcare,Decreasing,Moderate,111501.56,Associate Degree,10,5576,1924,57.68,82.26,UK,58.83
Information officer,Education,Increasing,High,88622.8,Associate Degree,10,371,5726,6.54,14.21,Germany,23.71
Special educational needs teacher,Education,Increasing,Low,103008.1,Bachelor’s Degree,20,9655,8179,14.69,97.36,Brazil,23.19
Information officer,Healthcare,Increasing,Moderate,64846.7,Bachelor’s Degree,10,741,1965,30.36,96.75,Australia,54.28
Microbiologist,Education,Increasing,Moderate,34167.81,Master’s Degree,12,2323,4502,63.89,97.81,Germany,29.56
"Psychologist, forensic",Education,Increasing,Moderate,49767.39,PhD,15,3618,5359,24.0,50.31,UK,50.54
"Psychologist, educational",IT,Increasing,Moderate,77943.92,High School,7,536,3293,32.1,80.71,Germany,77.26
Teaching laboratory technician,Transportation,Decreasing,Low,80603.72,Associate Degree,8,4795,2387,3.17,90.93,Canada,38.89
Claims inspector/assessor,Entertainment,Decreasing,Moderate,115834.59,Master’s Degree,9,6103,8037,19.22,68.6,Germany,48.03
Horticultural consultant,Education,Decreasing,Moderate,100693.36,Associate Degree,9,6355,2496,95.97,76.48,Brazil,73.67
Contracting civil engineer,Finance,Decreasing,High,107700.1,PhD,7,1183,2333,4.93,48.99,Australia,51.95
"Engineer, chemical",Retail,Increasing,Low,105038.81,PhD,17,9316,8864,6.57,45.84,Germany,44.01
"Engineer, land",IT,Increasing,High,139008.77,PhD,0,6333,3099,71.51,68.54,Germany,39.78
Recruitment consultant,Retail,Increasing,Low,36985.54,Master’s Degree,1,4226,3191,55.71,84.21,Germany,58.39
Health and safety inspector,Education,Increasing,Low,91620.07,PhD,13,2766,4908,37.33,46.65,Canada,30.1
Chief of Staff,Finance,Increasing,Moderate,94376.62,High School,7,2132,6295,75.41,39.51,UK,34.28
General practice doctor,IT,Decreasing,High,127019.23,High School,14,3667,821,89.03,98.43,India,26.39
"Conservation officer, historic buildings",IT,Decreasing,High,129008.74,High School,17,1963,8444,6.99,95.07,Canada,73.43
Soil scientist,IT,Increasing,Low,119653.76,PhD,18,2238,5850,87.57,98.53,India,70.46
Contractor,Finance,Increasing,High,146042.43,Bachelor’s Degree,4,1716,7430,77.88,42.04,USA,75.61
Environmental manager,Manufacturing,Increasing,Low,56700.47,Master’s Degree,6,3467,150,70.14,70.3,India,21.16
Hydrogeologist,Retail,Increasing,Low,123476.42,Bachelor’s Degree,8,413,8099,25.34,70.3,Brazil,38.08
"Investment banker, corporate",IT,Decreasing,Moderate,46463.25,High School,15,2987,3362,34.15,61.94,India,53.17
Agricultural engineer,Healthcare,Increasing,Low,142403.04,Master’s Degree,13,1407,7728,25.35,28.78,Australia,44.4
Insurance claims handler,Finance,Increasing,High,112427.88,Associate Degree,20,4154,1194,60.29,83.66,Canada,44.11
"Psychologist, sport and exercise",Retail,Decreasing,Low,92300.39,PhD,17,8746,2533,59.8,68.36,Canada,40.06
Tax inspector,Education,Decreasing,Low,144115.67,Bachelor’s Degree,3,5237,2017,96.21,85.85,Canada,49.69
Conference centre manager,Transportation,Increasing,High,118241.97,Bachelor’s Degree,5,4650,8997,6.48,65.67,India,45.15
Psychotherapist,Finance,Increasing,Moderate,117711.88,High School,15,8521,9831,79.21,72.34,Canada,78.93
Air traffic controller,Education,Increasing,Low,83924.23,Bachelor’s Degree,3,3686,9814,10.87,13.7,USA,48.71
"Solicitor, Scotland",Healthcare,Increasing,Moderate,98096.83,Bachelor’s Degree,17,9313,9819,5.98,98.85,Germany,56.86
Risk manager,Entertainment,Decreasing,Moderate,146059.28,Associate Degree,4,6747,4928,29.05,79.35,USA,68.24
"Pharmacist, hospital",IT,Increasing,Low,140516.26,PhD,7,3237,9479,48.42,55.13,Germany,69.13
Educational psychologist,Retail,Decreasing,High,82525.91,Bachelor’s Degree,10,4324,2109,38.25,53.68,Germany,36.57
"Scientist, research (maths)",Entertainment,Decreasing,Low,43076.36,PhD,19,7605,8791,25.55,24.04,Germany,66.47
Planning and development surveyor,Finance,Decreasing,Moderate,66995.41,High School,3,914,4702,7.99,62.37,India,76.91
Public librarian,Transportation,Increasing,High,63031.39,PhD,0,4564,815,73.07,69.36,Germany,70.32
Early years teacher,Education,Increasing,Moderate,48850.9,Associate Degree,20,6699,7231,58.19,44.16,Australia,67.57
English as a second language teacher,Manufacturing,Decreasing,Moderate,109081.24,Master’s Degree,10,7048,665,10.19,62.12,USA,46.52
"Designer, textile",Transportation,Decreasing,High,41527.25,Associate Degree,10,7157,4789,59.09,13.34,USA,65.95
Fashion designer,Retail,Decreasing,Moderate,64136.66,High School,9,2790,5368,13.08,19.18,Canada,45.61
Estate manager/land agent,Entertainment,Increasing,Moderate,131539.52,High School,2,6968,2548,15.83,4.78,UK,51.73
Geoscientist,Healthcare,Increasing,Low,143763.82,High School,10,9729,2719,2.83,64.48,USA,23.44
Hospital doctor,Entertainment,Decreasing,High,137775.5,Associate Degree,15,999,885,19.81,99.39,China,66.49
Banker,Finance,Decreasing,Low,98775.71,High School,10,4392,2111,3.45,64.65,China,32.24
"Radiographer, therapeutic",Retail,Decreasing,High,114132.59,PhD,10,4701,9492,36.21,74.26,UK,76.17
"Designer, fashion/clothing",IT,Increasing,High,39734.95,PhD,10,6616,9716,38.01,28.66,Australia,23.81
Planning and development surveyor,Education,Increasing,Low,145021.86,Master’s Degree,20,6299,3491,66.91,49.39,Canada,30.53
Engineering geologist,Healthcare,Decreasing,Low,100171.74,PhD,18,3534,4336,42.57,71.3,China,63.32
Newspaper journalist,Transportation,Increasing,Moderate,130285.47,Master’s Degree,16,3455,4860,11.12,19.54,Germany,62.45
Special educational needs teacher,Education,Increasing,High,31623.32,Bachelor’s Degree,5,714,1654,75.35,10.14,China,44.38
Nature conservation officer,IT,Increasing,High,134135.65,Associate Degree,0,6312,9860,60.8,0.15,UK,23.94
Politician's assistant,Education,Decreasing,Moderate,114839.18,High School,1,3548,7899,73.48,20.53,China,70.14
Tax inspector,Entertainment,Decreasing,High,79343.62,PhD,20,8616,3350,69.03,94.5,Australia,71.48
Historic buildings inspector/conservation officer,Healthcare,Increasing,Low,38023.18,Bachelor’s Degree,11,266,8218,74.35,91.57,India,36.64
Dance movement psychotherapist,Retail,Increasing,Moderate,44433.38,High School,17,7731,1336,14.45,5.23,China,22.32
Community education officer,Manufacturing,Increasing,Low,84599.19,Bachelor’s Degree,11,1596,5715,6.05,70.82,China,44.53
Ceramics designer,Manufacturing,Decreasing,Low,63720.26,Bachelor’s Degree,12,9928,4200,55.78,1.28,Canada,32.65
Surgeon,IT,Increasing,Low,133606.98,High School,5,2752,2798,5.61,99.15,Australia,36.73
Oceanographer,Retail,Decreasing,High,85617.72,PhD,6,7041,2944,22.53,41.67,India,56.15
Administrator,Healthcare,Increasing,Low,111500.73,PhD,1,6989,1486,96.32,4.43,UK,46.8
Media planner,Finance,Increasing,Moderate,61637.02,Bachelor’s Degree,11,7664,3120,88.31,77.2,Germany,49.74
Office manager,Manufacturing,Increasing,Low,82705.84,Master’s Degree,11,7909,6476,96.5,0.78,India,64.22
Office manager,Finance,Decreasing,High,44183.42,PhD,8,8215,7415,48.34,84.76,India,30.92
Database administrator,Finance,Increasing,Moderate,43171.68,PhD,7,6131,3015,96.7,29.76,China,78.9
Dietitian,Retail,Increasing,Low,91169.31,Bachelor’s Degree,8,7448,2997,38.17,18.13,China,62.84
Barista,Transportation,Decreasing,High,100721.63,High School,19,7927,2897,74.96,97.38,UK,32.55
Proofreader,IT,Increasing,Moderate,100755.35,Master’s Degree,2,1496,3028,63.24,24.74,India,79.67
"Engineer, broadcasting (operations)",Retail,Increasing,High,99197.09,Master’s Degree,2,1347,5173,6.69,11.82,Canada,56.79
Seismic interpreter,Manufacturing,Decreasing,Moderate,41978.99,Bachelor’s Degree,18,4000,6297,30.72,46.57,Australia,32.93
International aid/development worker,IT,Decreasing,Moderate,118711.05,Associate Degree,11,8327,7679,47.26,79.4,India,48.73
Soil scientist,IT,Increasing,Moderate,44500.73,Associate Degree,4,6988,9475,35.68,84.47,USA,57.49
Audiological scientist,Manufacturing,Decreasing,High,104250.38,High School,9,2056,7058,27.77,96.54,Germany,74.34
Publishing copy,Transportation,Increasing,Moderate,49082.06,Master’s Degree,5,5229,8288,9.04,67.05,Brazil,35.69
Barrister's clerk,Finance,Decreasing,High,132011.7,High School,20,8059,7417,50.43,63.86,Australia,37.65
Fitness centre manager,Entertainment,Increasing,Moderate,93293.44,Master’s Degree,10,8730,363,31.37,96.79,UK,70.29
"Geologist, wellsite",Education,Decreasing,High,125043.55,PhD,16,4097,9869,89.35,53.98,Brazil,20.28
Special effects artist,Healthcare,Decreasing,Moderate,95367.18,PhD,19,1700,4775,16.21,30.48,China,45.33
"Surveyor, quantity",Finance,Increasing,High,132550.69,PhD,3,8414,8711,93.67,97.22,India,60.67
Health visitor,IT,Increasing,Low,49476.8,Bachelor’s Degree,11,4894,6027,18.14,10.67,UK,50.06
Chief Executive Officer,Transportation,Decreasing,High,34262.65,PhD,5,222,744,22.13,5.79,Australia,35.01
"Pharmacist, hospital",Finance,Increasing,High,86255.67,Bachelor’s Degree,0,6725,9844,34.32,7.21,UK,73.54
"Surveyor, building",Transportation,Increasing,Low,123710.8,Associate Degree,7,3943,4855,55.6,59.58,Canada,53.45
Research scientist (physical sciences),Finance,Decreasing,Low,100226.67,Master’s Degree,17,616,8740,68.23,87.49,Canada,37.1
Insurance claims handler,Entertainment,Increasing,High,60716.98,Master’s Degree,6,9710,2704,32.66,57.22,Brazil,76.2
Recycling officer,Manufacturing,Increasing,High,81869.18,Associate Degree,8,9729,3444,12.83,63.32,China,78.33
Pension scheme manager,Retail,Increasing,Moderate,77052.61,Associate Degree,8,6089,5266,88.05,89.8,USA,24.5
Scientific laboratory technician,Manufacturing,Increasing,Moderate,72130.35,Bachelor’s Degree,5,7972,4409,34.79,88.53,China,69.69
Archaeologist,Healthcare,Decreasing,Low,41208.02,PhD,17,1105,9033,52.07,53.3,USA,48.01
Sub,Retail,Increasing,Low,101011.94,Master’s Degree,4,7984,299,14.44,88.67,China,69.99
Water quality scientist,Transportation,Increasing,High,142192.83,PhD,17,8322,6607,8.51,21.35,Germany,50.68
Energy engineer,IT,Decreasing,High,50888.04,Master’s Degree,17,552,1411,43.12,37.41,Brazil,26.71
"Designer, industrial/product",Transportation,Increasing,Moderate,91740.18,Associate Degree,9,8384,2746,34.86,60.84,India,23.81
Jewellery designer,Retail,Increasing,High,143134.25,Bachelor’s Degree,7,4912,2663,45.16,83.93,USA,33.02
Insurance claims handler,Education,Decreasing,Moderate,35057.67,PhD,9,1265,6505,91.85,97.33,USA,31.8
Armed forces logistics/support/administrative officer,Education,Increasing,High,62985.91,High School,7,4946,2352,77.3,58.82,India,60.7
Radio broadcast assistant,Education,Decreasing,Low,101969.48,High School,7,8688,2060,12.53,30.29,Germany,64.22
Solicitor,Finance,Decreasing,Low,145230.37,PhD,4,9591,4380,84.49,95.18,Australia,76.65
Ophthalmologist,Education,Increasing,Moderate,146413.49,PhD,5,4361,8924,61.98,46.98,Brazil,76.5
Meteorologist,Manufacturing,Decreasing,Low,148779.02,High School,1,5624,876,15.47,31.07,China,35.83
Tourism officer,Healthcare,Decreasing,Moderate,115330.99,High School,2,8666,8469,92.3,85.15,USA,23.48
Theatre director,Transportation,Decreasing,Moderate,69913.52,Master’s Degree,12,6842,4671,99.65,94.78,Brazil,76.66
Transport planner,Retail,Increasing,High,44895.33,Associate Degree,7,3988,6943,41.89,38.2,China,32.37
Archivist,Transportation,Decreasing,High,133939.05,PhD,2,4249,5558,68.79,61.19,Canada,44.45
Web designer,Transportation,Increasing,High,133107.65,High School,3,9176,8567,40.97,35.07,Canada,37.24
"Production designer, theatre/television/film",Entertainment,Decreasing,Moderate,106700.22,Master’s Degree,16,9086,2349,13.36,89.55,USA,51.63
Tree surgeon,IT,Increasing,Low,81494.33,Bachelor’s Degree,3,7365,4877,93.3,76.47,UK,23.52
